"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,107,"IRN","Iran",1,"Alborz",1,"Karaj","IR.TH.KA",NA,"","Shahrestan","County","",""
2,107,"IRN","Iran",1,"Alborz",2,"Nazarabad","IR.TH.NA",NA,"","Shahrestan","County","",""
3,107,"IRN","Iran",1,"Alborz",3,"Savojbolagh","IR.TH.SA",NA,"","Shahrestan","County","",""
4,107,"IRN","Iran",1,"Alborz",4,"Shahriyar","IR.TH.SR",NA,"","Shahrestan","County","","Shahriar"
5,107,"IRN","Iran",2,"Ardebil",5,"Ardebil","IR.AR.AR",NA,"","Shahrestan","County","",""
6,107,"IRN","Iran",2,"Ardebil",6,"Bilehsavar","IR.AR.BI",NA,"","Shahrestan","County","","Bilasavar"
7,107,"IRN","Iran",2,"Ardebil",7,"Germi","IR.AR.GE",NA,"","Shahrestan","County","",""
8,107,"IRN","Iran",2,"Ardebil",8,"Khalkhal","IR.AR.KH",NA,"","Shahrestan","County","",""
9,107,"IRN","Iran",2,"Ardebil",9,"Neer","IR.AR.NR",NA,"","Shahrestan","County","",""
10,107,"IRN","Iran",2,"Ardebil",10,"Parsabad","IR.AR.PA",NA,"","Shahrestan","County","",""
11,107,"IRN","Iran",3,"Bushehr",11,"Bushehr","IR.BS.BU",NA,"","Shahrestan","County","",""
12,107,"IRN","Iran",3,"Bushehr",12,"Dashtestan","IR.BS.DN",NA,"","Shahrestan","County","",""
13,107,"IRN","Iran",3,"Bushehr",13,"Dashti","IR.BS.DS",NA,"","Shahrestan","County","",""
14,107,"IRN","Iran",3,"Bushehr",14,"Dayyer","IR.BS.DY",NA,"","Shahrestan","County","",""
15,107,"IRN","Iran",3,"Bushehr",15,"Deylam","IR.BS.DM",NA,"","Shahrestan","County","",""
16,107,"IRN","Iran",3,"Bushehr",16,"Genaveh","IR.BS.GE",NA,"","Shahrestan","County","","Ganaveh"
17,107,"IRN","Iran",3,"Bushehr",17,"Jam","IR.BS.JM",NA,"","Shahrestan","County","",""
18,107,"IRN","Iran",3,"Bushehr",18,"Tangestan","IR.BS.TA",NA,"","Shahrestan","County","",""
19,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",19,"Ardal","IR.CM.AR",NA,"","Shahrestan","County","",""
20,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",20,"Borujen","IR.CM.BO",NA,"","Shahrestan","County","","Boroojen"
21,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",21,"Kuhrang","IR.CM.KU",NA,"","Shahrestan","County","","Koohrang"
22,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",22,"Lordakan","IR.CM.LO",NA,"","Shahrestan","County","","Lordegan"
23,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",23,"Shahr-e-Kord","IR.CM.SK",NA,"","Shahrestan","County","",""
24,107,"IRN","Iran",5,"East Azarbaijan",24,"Ahar","IR.EA.AH",NA,"","Shahrestan","County","",""
25,107,"IRN","Iran",5,"East Azarbaijan",25,"Bonab","IR.EA.BN",NA,"","Shahrestan","County","",""
26,107,"IRN","Iran",5,"East Azarbaijan",26,"Bostan Abad","IR.EA.BO",NA,"","Shahrestan","County","","Bostanabad"
27,107,"IRN","Iran",5,"East Azarbaijan",27,"Hashtrud","IR.EA.HS",NA,"","Shahrestan","County","","Hashtrood"
28,107,"IRN","Iran",5,"East Azarbaijan",28,"Heris","IR.EA.HR",NA,"","Shahrestan","County","","Haris"
29,107,"IRN","Iran",5,"East Azarbaijan",29,"Kaleibar","IR.EA.KA",NA,"","Shahrestan","County","","Kalibar"
30,107,"IRN","Iran",5,"East Azarbaijan",30,"Marand","IR.EA.MD",NA,"","Shahrestan","County","",""
31,107,"IRN","Iran",5,"East Azarbaijan",31,"Maraqeh","IR.EA.MG",NA,"","Shahrestan","County","","Maragheh"
32,107,"IRN","Iran",5,"East Azarbaijan",32,"Mianeh","IR.EA.MI",NA,"","Shahrestan","County","",""
33,107,"IRN","Iran",5,"East Azarbaijan",33,"Sarab","IR.EA.SA",NA,"","Shahrestan","County","",""
34,107,"IRN","Iran",5,"East Azarbaijan",34,"Shabestar","IR.EA.SH",NA,"","Shahrestan","County","",""
35,107,"IRN","Iran",5,"East Azarbaijan",35,"Tabriz","IR.EA.TA",NA,"","Shahrestan","County","",""
36,107,"IRN","Iran",6,"Esfahan",36,"Ardestan","IR.ES.AR",NA,"","Shahrestan","County","",""
37,107,"IRN","Iran",6,"Esfahan",37,"Borkhar and Meymeh","IR.ES.BM",NA,"","Shahrestan","County","",""
38,107,"IRN","Iran",6,"Esfahan",38,"Chadegan","IR.ES.CH",NA,"","Shahrestan","County","",""
39,107,"IRN","Iran",6,"Esfahan",39,"Falavarjan","IR.ES.FL",NA,"","Shahrestan","County","",""
40,107,"IRN","Iran",6,"Esfahan",40,"Fereydunshahr","IR.ES.FE",NA,"","Shahrestan","County","",""
41,107,"IRN","Iran",6,"Esfahan",41,"Golpayegan","IR.ES.GO",NA,"","Shahrestan","County","","Gulpaigan"
42,107,"IRN","Iran",6,"Esfahan",42,"Kashan","IR.ES.KA",NA,"","Shahrestan","County","",""
43,107,"IRN","Iran",6,"Esfahan",43,"Khansar","IR.ES.KN",NA,"","Shahrestan","County","",""
44,107,"IRN","Iran",6,"Esfahan",44,"Khomeynishahr","IR.ES.KR",NA,"","Shahrestan","County","",""
45,107,"IRN","Iran",6,"Esfahan",45,"Lanjan","IR.ES.LA",NA,"","Shahrestan","County","","Lenjan"
46,107,"IRN","Iran",6,"Esfahan",46,"Lower Semirom/Dehaghan","IR.ES.SH",NA,"","Shahrestan","County","",""
47,107,"IRN","Iran",6,"Esfahan",47,"Mobarakeh","IR.ES.MO",NA,"","Shahrestan","County","",""
48,107,"IRN","Iran",6,"Esfahan",48,"Natanz","IR.ES.NT",NA,"","Shahrestan","County","",""
49,107,"IRN","Iran",6,"Esfahan",49,"Nayin","IR.ES.NY",NA,"","Shahrestan","County","",""
50,107,"IRN","Iran",6,"Esfahan",50,"Semirom","IR.ES.SE",NA,"","Shahrestan","County","",""
51,107,"IRN","Iran",6,"Esfahan",51,"Tiran and Karvan","IR.ES.TK",NA,"","Shahrestan","County","",""
52,107,"IRN","Iran",7,"Fars",52,"Abadeh","IR.FA.AB",NA,"","Shahrestan","County","",""
53,107,"IRN","Iran",7,"Fars",53,"Darab","IR.FA.DA",NA,"","Shahrestan","County","",""
54,107,"IRN","Iran",7,"Fars",54,"Eqlid","IR.FA.EQ",NA,"","Shahrestan","County","",""
55,107,"IRN","Iran",7,"Fars",55,"Estahban","IR.FA.ES",NA,"","Shahrestan","County","",""
56,107,"IRN","Iran",7,"Fars",56,"Fasa","IR.FA.FA",NA,"","Shahrestan","County","",""
57,107,"IRN","Iran",7,"Fars",57,"Firozabad","IR.FA.FI",NA,"","Shahrestan","County","",""
58,107,"IRN","Iran",7,"Fars",58,"Jahrom","IR.FA.JA",NA,"","Shahrestan","County","",""
59,107,"IRN","Iran",7,"Fars",59,"Kazerun","IR.FA.KA",NA,"","Shahrestan","County","",""
60,107,"IRN","Iran",7,"Fars",60,"Khorrambid","IR.FA.KH",NA,"","Shahrestan","County","",""
61,107,"IRN","Iran",7,"Fars",61,"Lamard","IR.FA.LD",NA,"","Shahrestan","County","",""
62,107,"IRN","Iran",7,"Fars",62,"Lar","IR.FA.LR",NA,"","Shahrestan","County","",""
63,107,"IRN","Iran",7,"Fars",63,"Mamasany","IR.FA.MM",NA,"","Shahrestan","County","",""
64,107,"IRN","Iran",7,"Fars",64,"Marvdasht","IR.FA.MD",NA,"","Shahrestan","County","",""
65,107,"IRN","Iran",7,"Fars",65,"Neyriz","IR.FA.NE",NA,"","Shahrestan","County","",""
66,107,"IRN","Iran",7,"Fars",66,"Sepidan","IR.FA.SE",NA,"","Shahrestan","County","",""
67,107,"IRN","Iran",7,"Fars",67,"Shiraz","IR.FA.SH",NA,"","Shahrestan","County","",""
68,107,"IRN","Iran",8,"Gilan",68,"Astaneh-ye-Ashrafiyeh","IR.GI.AA",NA,"","Shahrestan","County","","Astaneh Ashrafiyeh"
69,107,"IRN","Iran",8,"Gilan",69,"Astara","IR.GI.AS",NA,"","Shahrestan","County","",""
70,107,"IRN","Iran",8,"Gilan",70,"Bandar-e Anzali","IR.GI.BA",NA,"","Shahrestan","County","",""
71,107,"IRN","Iran",8,"Gilan",71,"Fuman","IR.GI.FU",NA,"","Shahrestan","County","","Fooman"
72,107,"IRN","Iran",8,"Gilan",72,"Hashtpar","",NA,"","Shahrestan","County","",""
73,107,"IRN","Iran",8,"Gilan",73,"Lahijan","IR.GI.LA",NA,"","Shahrestan","County","",""
74,107,"IRN","Iran",8,"Gilan",74,"Langrud","IR.GI.LG",NA,"","Shahrestan","County","","Langerood"
75,107,"IRN","Iran",8,"Gilan",75,"Rasht","IR.GI.RA",NA,"","Shahrestan","County","",""
76,107,"IRN","Iran",8,"Gilan",76,"Rudbar","IR.GI.RB",NA,"","Shahrestan","County","",""
77,107,"IRN","Iran",8,"Gilan",77,"Rudsar","IR.GI.RS",NA,"","Shahrestan","County","","Roudsar"
78,107,"IRN","Iran",8,"Gilan",78,"Shaft","IR.GI.SH",NA,"","Shahrestan","County","","Shaft"
79,107,"IRN","Iran",8,"Gilan",79,"Sume'eh Sara","IR.GI.SU",NA,"","Shahrestan","County","","Some'e Sara"
80,107,"IRN","Iran",9,"Golestan",80,"Aliabad","IR.GO.AL",NA,"","Shahrestan","County","","Ali Abad"
81,107,"IRN","Iran",9,"Golestan",81,"Gonbad-e-Kavus","IR.GO.GK",NA,"","Shahrestan","County","","Gonbad Kavoos"
82,107,"IRN","Iran",9,"Golestan",82,"Gorgan","IR.GO.GO",NA,"","Shahrestan","County","",""
83,107,"IRN","Iran",9,"Golestan",83,"Kordkuy","IR.GO.KO",NA,"","Shahrestan","County","","Kordkooy"
84,107,"IRN","Iran",9,"Golestan",84,"Minudasht","IR.GO.MI",NA,"","Shahrestan","County","","Minoodasht"
85,107,"IRN","Iran",9,"Golestan",85,"Torkaman","IR.GO.TO",NA,"","Shahrestan","County","","Bandar Torkaman"
86,107,"IRN","Iran",10,"Hamadan",86,"Asadabad","IR.HD.AS",NA,"","Shahrestan","County","",""
87,107,"IRN","Iran",10,"Hamadan",87,"Bahar","IR.HD.BA",NA,"","Shahrestan","County","",""
88,107,"IRN","Iran",10,"Hamadan",88,"Hamadan","IR.HD.HA",NA,"","Shahrestan","County","",""
89,107,"IRN","Iran",10,"Hamadan",89,"Kabudarahang","IR.HD.KA",NA,"","Shahrestan","County","",""
90,107,"IRN","Iran",10,"Hamadan",90,"Malayer","IR.HD.MA",NA,"","Shahrestan","County","",""
91,107,"IRN","Iran",10,"Hamadan",91,"Nahavand","IR.HD.NA",NA,"","Shahrestan","County","",""
92,107,"IRN","Iran",10,"Hamadan",92,"Razan","IR.HD.RA",NA,"","Shahrestan","County","",""
93,107,"IRN","Iran",10,"Hamadan",93,"Tuyserkan","IR.HD.TU",NA,"","Shahrestan","County","",""
94,107,"IRN","Iran",11,"Hormozgan",94,"Abu Musa","IR.HG.AB",NA,"","Shahrestan","County","",""
95,107,"IRN","Iran",11,"Hormozgan",95,"Bandar-e-Abbas","IR.HG.BA",NA,"","Shahrestan","County","",""
96,107,"IRN","Iran",11,"Hormozgan",96,"Bandar-e-Jask","IR.HG.BJ",NA,"","Shahrestan","County","","Jask"
97,107,"IRN","Iran",11,"Hormozgan",97,"Bandar-e-Lengeh","IR.HG.BL",NA,"","Shahrestan","County","",""
98,107,"IRN","Iran",11,"Hormozgan",98,"Bastak","IR.HG.BS",NA,"","Shahrestan","County","",""
99,107,"IRN","Iran",11,"Hormozgan",99,"Greater Farur","",NA,"","Island","Island","",""
100,107,"IRN","Iran",11,"Hormozgan",100,"Greater Tonb","",NA,"","Island","Island","",""
101,107,"IRN","Iran",11,"Hormozgan",101,"Hajiabad","IR.HG.HA",NA,"","Shahrestan","County","",""
102,107,"IRN","Iran",11,"Hormozgan",102,"Hendorabi","",NA,"","Island","Island","",""
103,107,"IRN","Iran",11,"Hormozgan",103,"Kish","",NA,"","Island","Island","",""
104,107,"IRN","Iran",11,"Hormozgan",104,"Lavan","",NA,"","Island","Island","",""
105,107,"IRN","Iran",11,"Hormozgan",105,"Lesser Tonb","",NA,"","Island","Island","",""
106,107,"IRN","Iran",11,"Hormozgan",106,"Minab","IR.HG.MI",NA,"","Shahrestan","County","",""
107,107,"IRN","Iran",11,"Hormozgan",107,"Qeshm","IR.HG.QE",NA,"","Shahrestan","County","",""
108,107,"IRN","Iran",11,"Hormozgan",108,"Rudan","IR.HG.RU",NA,"","Shahrestan","County","",""
109,107,"IRN","Iran",11,"Hormozgan",109,"Sirri","",NA,"","Island","Island","",""
110,107,"IRN","Iran",11,"Hormozgan",110,"Strait of Hormuz","",NA,"","Unknown","Unknown","",""
111,107,"IRN","Iran",12,"Ilam",111,"Abdanan","IR.IL.AB",NA,"","Shahrestan","County","",""
112,107,"IRN","Iran",12,"Ilam",112,"Darrehshahr","IR.IL.DA",NA,"","Shahrestan","County","",""
113,107,"IRN","Iran",12,"Ilam",113,"Dehloran","IR.IL.DE",NA,"","Shahrestan","County","",""
114,107,"IRN","Iran",12,"Ilam",114,"Eevan","IR.IL.EY",NA,"","Shahrestan","County","","Eevan"
115,107,"IRN","Iran",12,"Ilam",115,"Ilam","IR.IL.IL",NA,"","Shahrestan","County","",""
116,107,"IRN","Iran",12,"Ilam",116,"Mehran","IR.IL.ME",NA,"","Shahrestan","County","",""
117,107,"IRN","Iran",12,"Ilam",117,"Shirvan and Chard-e-Aval","IR.IL.SC",NA,"","Shahrestan","County","","Shirvan-o-Chardavol"
118,107,"IRN","Iran",13,"Kerman",118,"Baft","IR.KE.BF",NA,"","Shahrestan","County","",""
119,107,"IRN","Iran",13,"Kerman",119,"Bam","IR.KE.BM",NA,"","Shahrestan","County","",""
120,107,"IRN","Iran",13,"Kerman",120,"Bardsir","IR.KE.BR",NA,"","Shahrestan","County","",""
121,107,"IRN","Iran",13,"Kerman",121,"Jiroft","IR.KE.JI",NA,"","Shahrestan","County","",""
122,107,"IRN","Iran",13,"Kerman",122,"Kahnuj","IR.KE.KA",NA,"","Shahrestan","County","",""
123,107,"IRN","Iran",13,"Kerman",123,"Kerman","IR.KE.KE",NA,"","Shahrestan","County","",""
124,107,"IRN","Iran",13,"Kerman",124,"Rafsanjan","IR.KE.RA",NA,"","Shahrestan","County","",""
125,107,"IRN","Iran",13,"Kerman",125,"Ravar","IR.KE.RV",NA,"","Shahrestan","County","",""
126,107,"IRN","Iran",13,"Kerman",126,"Sirjan","IR.KE.SI",NA,"","Shahrestan","County","",""
127,107,"IRN","Iran",13,"Kerman",127,"Zarand","IR.KE.ZA",NA,"","Shahrestan","County","",""
128,107,"IRN","Iran",14,"Kermanshah",128,"Eslamabad-e-Gharb","IR.BK.EG",NA,"","Shahrestan","County","",""
129,107,"IRN","Iran",14,"Kermanshah",129,"Gilan-e-Gharb","IR.BK.GG",NA,"","Shahrestan","County","",""
130,107,"IRN","Iran",14,"Kermanshah",130,"Harsin","IR.BK.HA",NA,"","Shahrestan","County","",""
131,107,"IRN","Iran",14,"Kermanshah",131,"Kangavar","IR.BK.KA",NA,"","Shahrestan","County","",""
132,107,"IRN","Iran",14,"Kermanshah",132,"Kermanshah","IR.BK.KE",NA,"","Shahrestan","County","",""
133,107,"IRN","Iran",14,"Kermanshah",133,"n.a. (03)","",NA,"","Shahrestan","County","",""
134,107,"IRN","Iran",14,"Kermanshah",134,"Paveh","IR.BK.PA",NA,"","Shahrestan","County","",""
135,107,"IRN","Iran",14,"Kermanshah",135,"Qasr-e-Shirin","IR.BK.QS",NA,"","Shahrestan","County","",""
136,107,"IRN","Iran",14,"Kermanshah",136,"Sahneh","IR.BK.SH",NA,"","Shahrestan","County","",""
